Date,Rank_1_Stock,Rank_1_Return,Rank_2_Stock,Rank_2_Return,Rank_3_Stock,Rank_3_Return,Rank_4_Stock,Rank_4_Return,Rank_5_Stock,Rank_5_Return,Rank_6_Stock,Rank_6_Return,Rank_7_Stock,Rank_7_Return,Rank_8_Stock,Rank_8_Return,Rank_9_Stock,Rank_9_Return,Rank_10_Stock,Rank_10_Return
2022-05-20,BA,-0.05065284310462703,CAT,-0.04323837194683089,NVDA,-0.025111047059822367,MMM,-0.02129844368189182,HON,-0.015053230105399051,IBM,-0.009100734045143,JPM,-0.00819890764005482,DIS,-0.00698075998065073,TRV,-0.006261062884960089,SHW,-0.0054748256650619664
2022-05-23,HD,-0.0040392067850330005,HON,-0.0008959905190513151,AMZN,-0.00031605069518414464,VZ,0.0028266584407448114,MRK,0.0029933987533659057,MMM,0.00382410661241539,CRM,0.0041969343759504785,SHW,0.005117289108362177,NKE,0.005833294358234431,AMGN,0.006222290272216213
2022-05-24,NVDA,-0.044028975807152815,DIS,-0.04006440576012582,BA,-0.03764002724616855,AMZN,-0.03214110432537587,V,-0.023752296558204544,AXP,-0.021441258359026882,CRM,-0.021145418211932054,AAPL,-0.019216054832286722,NKE,-0.012335401180631811,GS,-0.008401490666842593
2022-05-25,PG,-0.01639253654189199,JNJ,-0.009812387416920587,MRK,-0.009404273739617941,WMT,-0.0061229347073124,MCD,-0.0020858191151775785,TRV,-0.0018402167973018413,MMM,0.0002743914021812177,KO,0.0007809663523421495,UNH,0.0010650904759943458,AAPL,0.0011397694711450246
2022-05-26,MRK,-0.015359742955852185,VZ,-0.004879146526197031,JNJ,-0.0008907602619291355,AMGN,0.00015797754846569312,KO,0.0035898712289637036,CVX,0.006727023441923219,TRV,0.007373866062045931,UNH,0.008311743850599296,MMM,0.008573913539512201,PG,0.008746144955502189
2022-05-27,KO,0.005909794058742923,VZ,0.008040718274441971,MRK,0.008341529182896101,AMGN,0.008733576123962195,JNJ,0.009082728578312826,CVX,0.009570223569628666,UNH,0.00971675834677943,CSCO,0.014002950978428741,JPM,0.014138007748152548,MCD,0.015236226451559087
2022-05-31,SHW,-0.03007032184445335,CRM,-0.029436669059173304,UNH,-0.020370196027197918,CVX,-0.02030508533574482,KO,-0.02009899926055314,HD,-0.018511517100185615,HON,-0.013903964104904687,CSCO,-0.012494373956421723,MRK,-0.011280663263731672,JNJ,-0.008614389607127682
2022-06-01,WMT,-0.02472195991291004,MMM,-0.019224044578205923,NVDA,-0.01885170176978479,AXP,-0.018125649539032174,JPM,-0.01754526760124364,TRV,-0.015359807403082626,GS,-0.015297406093354948,PG,-0.015147482469410556,AMGN,-0.01293133778810407,HD,-0.012165401700106937
2022-06-02,AMGN,-0.020282692093196664,MRK,-0.012508247902676128,JNJ,-0.00315121718064304,VZ,-0.0021398486403299,CVX,-0.0018149274476598753,UNH,-0.000588871145869807,MCD,0.004412639688904152,IBM,0.005164001506066773,GS,0.007456854318671935,MSFT,0.007928595172377317
2022-06-03,NVDA,-0.044508243086365695,AAPL,-0.0385556545122826,AMZN,-0.025185068024527135,TRV,-0.021734201210188653,DIS,-0.019842991850668956,CRM,-0.018524339406632673,NKE,-0.01750529469512896,GS,-0.01717823032262955,WMT,-0.017175302073726417,MSFT,-0.01660720683692507
2022-06-06,AMGN,-0.012115253664580328,CRM,-0.011032410118219538,DIS,-0.007729943710367282,NKE,-0.005952791137515678,MSFT,-0.004703328424882636,CVX,-0.0043354615100292815,PG,-0.00390710396463545,HD,-0.003900449286785901,WMT,-0.00359065377356127,JPM,-0.003303731460129078
