Date,Capital
2018-06-15,173697.4114
2018-06-18,172995.1584
2018-06-19,173183.6717
2018-06-20,172274.0436
2018-06-21,173072.9361
2018-06-22,170062.9763
2018-06-25,171197.7734
2018-06-26,170217.3002
2018-06-27,172028.9447
2018-06-28,172473.9234
2018-06-29,173256.2317
2018-07-02,172927.8923
2018-07-03,174656.4391
2018-07-05,175169.1121
2018-07-06,177079.4375
2018-07-09,178674.237
2018-07-10,178160.4038
2018-07-11,180382.428
2018-07-12,181312.4997
2018-07-13,182292.9873
2018-07-16,183313.1187
2018-07-17,183598.0438
2018-07-18,183116.3598
2018-07-19,184113.8799
2018-07-20,183711.615
2018-07-23,184864.1186
2018-07-24,186918.5199
2018-07-25,187628.6347
2018-07-26,187156.9823
2018-07-27,184245.0773
2018-07-30,185440.4673
2018-07-31,184995.0415
2018-08-01,184457.1398
2018-08-02,185263.2117
2018-08-03,186218.1249
2018-08-06,187425.969
2018-08-07,187641.5219
2018-08-08,186528.9744
2018-08-09,185372.1164
2018-08-10,184005.0598
2018-08-13,184963.3817
2018-08-14,184638.3758
2018-08-15,186622.8723
2018-08-16,185776.34
2018-08-17,186092.5799
2018-08-20,186409.4648
2018-08-21,186360.7028
2018-08-22,186572.8737
2018-08-23,186945.0087
2018-08-24,188537.3748
2018-08-27,188656.3994
2018-08-28,189367.2654
2018-08-29,188367.6759
2018-08-30,188584.8331
2018-08-31,188216.3335
2018-09-04,189057.1383
2018-09-05,188259.0305
2018-09-06,187718.6292
2018-09-07,187253.701
2018-09-10,188266.5489
2018-09-11,187752.8071
2018-09-12,188899.1224
2018-09-13,188265.1484
2018-09-14,187429.5319
2018-09-17,188660.0561
2018-09-18,188644.807
2018-09-19,190638.5117
2018-09-20,190527.3386
2018-09-21,190856.1258
2018-09-24,190097.6857
2018-09-25,190138.2667
2018-09-26,190468.1427
2018-09-27,190215.8444
2018-09-28,191561.7333
2018-10-01,191122.71
2018-10-02,190360.2156
2018-10-03,188919.9461
2018-10-04,187365.1376
2018-10-05,186903.9805
2018-10-08,187562.2204
2018-10-09,182495.137
2018-10-10,179419.0768
2018-10-11,181391.632
2018-10-12,181299.6897
2018-10-15,187004.0389
2018-10-16,186916.1499
2018-10-17,183432.3443
2018-10-18,182354.8887
2018-10-19,182119.7066
2018-10-22,180071.5488
2018-10-23,172670.1609
2018-10-24,177085.6479
2018-10-25,175946.7023
2018-10-26,172475.3504
2018-10-29,175294.5212
2018-10-30,178958.8591
2018-10-31,179847.1434
2018-11-01,180698.9003
2018-11-02,181294.3492
2018-11-05,182093.0391
2018-11-06,186494.4359
2018-11-07,186246.0065
2018-11-08,184273.6694
2018-11-09,178151.2195
2018-11-12,178324.424
2018-11-13,176149.5131
2018-11-14,178901.2999
2018-11-15,179689.0061
2018-11-16,173707.9311
2018-11-19,171258.7191
2018-11-20,172587.7157
2018-11-21,172289.9368
2018-11-23,176350.0016
2018-11-26,177762.5324
2018-11-27,183541.8427
2018-11-28,183618.9192
2018-11-29,185815.3994
2018-11-30,187541.2143
2018-12-03,184894.6743
2018-12-04,184367.7842
2018-12-06,180256.9688
2018-12-07,182133.3255
2018-12-10,181660.8575
2018-12-11,182674.5731
2018-12-12,183460.6349
2018-12-13,181311.153
2018-12-14,176545.0252
2018-12-17,178090.1688
2018-12-18,176662.128
2018-12-19,173230.2055
2018-12-20,168680.0803
2018-12-21,164315.27
2018-12-24,171953.4104
2018-12-26,174391.8821
2018-12-27,174715.6358
2018-12-28,176296.7574
2018-12-31,177524.764
2019-01-02,174134.0333
2019-01-03,182382.682
2019-01-04,183275.4827
2019-01-07,184785.1356
2019-01-08,185616.5059
2019-01-09,185989.098
2019-01-10,185866.6564
2019-01-11,184946.8057
2019-01-14,187971.4962
2019-01-15,188027.4199
2019-01-16,189325.4808
2019-01-17,191586.5577
2019-01-18,189822.5128
2019-01-22,190088.8137
2019-01-23,190025.4854
2019-01-24,191048.7392
2019-01-25,189408.2472
2019-01-28,187258.8587
2019-01-29,191801.2062
2019-01-30,193112.7037
2019-01-31,193400.536
2019-02-01,194406.1469
2019-02-04,194985.8167
2019-02-05,194891.7936
2019-02-06,192925.2962
2019-02-07,192977.0743
2019-02-08,192449.1473
2019-02-11,195630.85
2019-02-12,196220.2164
2019-02-13,196089.8063
2019-02-14,197963.9987
2019-02-15,197941.1517
2019-02-19,199021.6997
2019-02-20,198979.7443
2019-02-21,200411.3862
2019-02-22,200487.5159
2019-02-25,199762.3052
2019-02-26,198548.4498
2019-02-27,198055.8737
2019-02-28,199481.4766
2019-03-01,199064.6874
2019-03-04,199167.4013
2019-03-05,197309.3356
2019-03-06,195389.8053
2019-03-07,195374.1383
2019-03-08,198230.1174
2019-03-11,197653.9631
2019-03-12,198453.8317
2019-03-13,198741.8907
2019-03-14,200258.1154
2019-03-15,201554.3153
2019-03-18,201775.6969
2019-03-19,200404.7548
2019-03-20,202653.8157
2019-03-21,199232.7745
2019-03-22,199437.1544
2019-03-25,201222.0674
2019-03-26,200908.2743
2019-03-27,201478.9039
2019-03-28,202979.2013
2019-03-29,205039.045
2019-04-01,204309.9266
2019-04-02,205255.4788
2019-04-03,205720.5364
2019-04-04,206500.3059
2019-04-05,205516.0258
2019-04-08,203704.0776
2019-04-09,204707.4721
2019-04-10,204465.3498
2019-04-11,206214.1256
2019-04-12,206288.1134
2019-04-15,207855.4703
2019-04-16,206280.0072
2019-04-17,207418.4421
2019-04-18,208128.027
2019-04-22,209541.4608
2019-04-23,208281.0701
2019-04-24,208292.3195
2019-04-25,208634.9348
2019-04-26,208628.1128
2019-04-29,208934.8432
2019-04-30,208090.2866
2019-05-01,207839.6418
2019-05-02,209702.1303
2019-05-03,209330.5075
2019-05-06,204546.981
2019-05-07,204583.6275
2019-05-08,204887.5796
2019-05-09,205356.9154
2019-05-10,198431.2105
